lat,long,prev
-15.27855,32.12809,0
-25.95078,32.3356,25
-25.83233,32.34203,13.88888889
-25.34178,32.35649,14.89361702
-25.94245,32.44658,8.620689655
-25.82849,32.45118,6.976744186
-25.9005,32.45486,8.450704225
-25.96021,32.46145,25
-25.89751,32.46309,7.792207792
-25.92213,32.48148,7.936507937
-25.9197,32.51279,1.724137931
-25.86913,32.51672,7.575757576
-25.88617,32.52029,11.66666667
-25.84083,32.52975,16.32653061
-25.922742,32.538054,17.64705882
-14.75576,32.55757,2.739726027
-25.88937,32.55759,13.25301205
-25.93373,32.56352,18.96551724
-25.91721,32.56559,12.96296296
-25.86784,32.56589,19.79166667
-25.91096,32.56621,16.32653061
-25.95794,32.57301,10.71428571
-25.95778,32.57365,4.47761194
-25.978449,32.575482,0
-25.75355,32.57594,19.60784314
-25.91455,32.57646,11.84210526
-25.96441,32.57721,19.51219512
-25.94028,32.5792,21.34831461
-25.89276,32.58373,13.15789474
-25.94111,32.58571,17.64705882
-25.96219,32.58621,1.886792453
-25.93595,32.59649,17.14285714
-25.89495,32.59772,12.5
-25.96645,32.59904,9.756097561
-25.91787,32.60235,12.67605634
-25.90025,32.60385,15.49295775
-25.84687,32.60425,15.85365854
-25.8785,32.60685,11.84210526
-25.91824,32.60974,6.944444444
-25.87113,32.61192,12.32876712
-25.83434,32.6137,17.54385965
-25.92731,32.62154,9.803921569
-25.84985,32.62413,13.79310345
-20.66998,32.65032,0
-25.56963,32.66114,13.23529412
-25.21104,32.68339,11.11111111
-25.00605,32.68793,9.459459459
-15.61476,32.7558,17.39130435
-16.45748,32.77303,4.545454545
-25.32682,32.78757,14.28571429
-18.86697,32.78871,6.944444444
-14.90049,32.80217,0
-25.056,32.80487,13.1147541
-24.4033,32.82988,20.63492063
-25.10859,32.87526,20.3125
-15.7649,32.88364,6.557377049
-18.93863,32.88863,17.91044776
-24.4437,32.90173,12.67605634
-26.16241,32.92844,22.80701754
-24.53756,32.99144,10.29411765
-24.49577,33.00205,20.40816327
-20.18011,33.03789,28.94736842
-22.38519,33.11773,5
-25.00853,33.12728,26.31578947
-24.95846,33.1476,23.80952381
-18.04289,33.16698,12.6984127
-18.54589,33.20356,6.578947368
