"","tmax_mov","tmin_mov","rh_mov","rain_mov"
"1",NA,NA,NA,NA
"2",NA,NA,NA,NA
"3",NA,NA,NA,NA
"4",NA,NA,NA,NA
"5",NA,NA,NA,NA
"6",NA,NA,NA,NA
"7",NA,NA,NA,NA
"8",30.4504499472692,24.4749352770367,93.0544244221278,44.05425
"9",30.3667295279551,24.1954234241196,92.8901052474975,44.473375
"10",30.1535150716626,23.9209027513708,92.786381312779,43.1750625
"11",29.9961488091712,23.5762000914275,92.7775456564767,31.4941875
"12",29.9113967255959,23.3826967623589,92.636534009661,26.4536875
"13",29.8229733004881,23.0936463376419,92.5779634884425,27.017375
"14",29.5340208550585,22.7876512596973,92.530081817082,27.6144375
"15",29.1265711067858,22.411647099183,92.5369150297982,22.999625
"16",28.9590265253828,22.0431642898463,91.9848369189671,22.999625
"17",28.5451101441438,21.6530684024131,91.9950004986354,22.999625
"18",28.1700857765032,21.2351982687543,92.2504181180682,18.9595
"19",28.0168288805937,20.9642855391758,92.1151977266584,19.062125
"20",27.7532242531555,20.5656539267664,91.9841290882656,16.6861875
"21",27.6739878271105,20.1698233692784,91.7518031937736,12.6793125
"22",27.3635548637968,19.7077818674781,91.2446720940726,8.245625
"23",27.2201823489368,19.4627183793028,91.2278535706656,5.198125
"24",27.0390820449517,19.1708496092021,91.1338087490627,5.776375
"25",26.9979768521562,19.0050456010217,90.8790813173567,5.9909375
"26",26.939644595246,18.9038791050683,90.9081266948155,6.067375
"27",26.9774242557584,18.8583187364412,90.8659004483904,5.8441875
"28",27.0741874472677,18.7793474308208,90.8171159880502,5.446
"29",27.0096594413032,18.8997639749987,90.9173172542027,4.8823125
"30",27.1286524040706,19.0323357142981,91.0505294799805,4.298125
"31",27.353560976485,19.1025407554426,91.0365009307861,4.2368125
"32",27.6176843177976,19.3186657729187,91.1966839517866,4.581625
"33",28.0261426763814,19.4988842633174,91.1483498300825,4.5900625
"34",28.1469684281713,19.7570654490253,91.0884557451521,4.2804375
"35",28.4193854279853,19.9933223283123,91.0823178291321,5.5538125
"36",28.4984086049931,20.2793526855833,91.2050369807652,6.76425
"37",28.559639896112,20.5227274719233,91.0456175804138,6.714125
"38",28.8716866359235,20.8660757123059,91.2802472795759,6.37475
"39",29.3470936652186,21.2273195813523,91.1836294446673,5.458125
"40",29.8383272311678,21.6841969983594,91.0453793661935,6.6375625
"41",29.9099097458229,22.0040705541856,91.2651472091675,12.1570625
"42",30.1168708181862,22.3649167425949,91.3857738631112,13.11
"43",30.1278444983716,22.6277317722467,91.3930401120867,14.2315625
"44",30.2146253295442,22.8592337743525,91.2433362688337,15.48675
"45",30.4191311562357,23.1535232092001,91.3434002058847,26.0258125
"46",30.3754208670936,23.3682073548031,91.5330954960415,27.957375
"47",30.33660954232,23.6486298387441,91.8204639298575,34.239625
